t_s,power_w,temp_c,epoch
0.0002997530009452021,7.9232,62.843,-1
0.04578037100145593,8.081664,62.593,0
0.06249225700048555,8.12128,62.625,0
0.07897943300122279,8.160896,62.593,0
0.09518906500125013,8.200512,62.718,0
0.1115491340005974,8.240128,62.562,0
0.1277932310003962,8.279744,62.843,0
0.14404427200133796,8.279744,62.843,0
0.16017591900163097,8.319360000000001,62.75,0
0.17635959800099954,8.358976,62.687,0
0.19254507000005106,8.385024,62.593,0
0.20879924700057018,8.424575999999998,62.687,0
0.22825517800083617,8.503680000000001,62.781,0
0.24492715900123585,8.582784,63.093,0
0.2636205400012841,8.70144,63.062,0
0.28079656699992483,8.780543999999999,62.937,0
0.29752573299992946,8.820096,62.781,0
0.31456847700064827,8.8992,63.062,0
0.33109549400069227,8.938752000000001,63.0,0
0.34727997400113964,8.978304,62.968,0
0.3635584080002445,9.057407999999999,63.062,0
0.39064795700141985,9.09696,63.312,0
0.4077945750013896,9.176064,63.281,0
0.4243482170004427,9.29472,62.906,0
0.4409915570013254,9.373824,62.656,0
0.45810924700163014,9.477120000000001,63.187,0
0.4754067810008564,9.516608,63.125,0
0.4919083580007282,9.753536,62.843,0
0.5088142970016634,9.911487999999999,63.031,0
0.5252567360003013,9.872,63.031,0
0.5418410030015366,9.872,62.968,0
0.5588498890010669,9.793023999999999,62.593,0
0.5754248760003975,9.753536,62.687,0
0.591669229001127,9.67456,62.718,0
0.6079179660009686,9.635072000000001,62.75,0
0.6243603090006218,9.595584,62.718,0
0.6407997080004861,9.556096,62.656,0
0.6569934360013576,9.516608,62.531,0
0.673600455000269,9.516608,62.531,0
0.6902590919999056,9.477120000000001,62.906,0
0.706372784999985,9.595584,62.875,0
0.7230655990006198,9.556096,62.75,0
0.7390459450016351,9.595584,62.656,0
0.7556641970004421,9.516608,62.75,0
0.7724355410009593,9.635072000000001,63.062,0
0.7887295590007852,9.67456,62.843,0
0.8053589470000588,9.635072000000001,62.843,0
0.8220106400003715,9.753536,62.718,0
0.8387605750012881,9.911487999999999,62.593,0
0.8554096759999084,10.187904,63.343,0
0.8722322530011297,10.187904,63.156,0
0.8891175200005819,10.503808000000001,63.187,0
0.9058544310009893,10.64448,62.843,0
0.9225690370003576,10.605056000000001,63.218,0
0.9391662640009599,10.605056000000001,63.187,0
0.9555629100013903,10.762752,63.062,0
0.9722786040001665,10.920448,62.843,0
0.9889562170010322,10.999296000000001,62.906,0
1.0053743030002806,11.078144,63.343,0
1.0214057550001598,10.999296000000001,63.187,0
1.0392887130001327,10.881024,62.687,0
1.0560743620007997,10.802176,62.656,0
1.0719611370004714,10.762752,62.812,0
1.0879780920004123,10.881024,63.156,0
1.1038928360012505,10.959871999999999,63.125,0
1.1214212250015407,11.196416,63.031,0
1.1384488319999946,11.314688,62.968,0
1.155252657001256,11.275264,63.281,0
1.171297325001433,11.196416,63.093,0
1.1873585050016118,11.156992,63.093,0
1.203640779000125,11.314688,63.125,0
1.2198239790013758,11.314688,62.906,0
1.2357216979999066,11.275264,62.843,0
1.2519373470004211,11.314688,62.843,0
1.2678284740013623,11.354111999999999,62.812,0
1.2838849190011388,11.314688,62.593,0
1.2997674380003446,11.393536,62.937,0
1.316041200001564,11.314688,62.75,0
1.3322476320008718,11.23584,62.593,0
1.3486065170000074,11.196416,62.843,0
1.3643784730011248,11.354111999999999,62.906,0
1.3807350210008735,11.43296,62.812,0
1.396864683001695,11.57184,63.531,0
1.4130667310000717,11.729280000000001,63.406,0
1.4295211710013973,11.808,63.187,0
1.4459656890012411,11.886719999999999,62.906,0
1.462159161001182,11.92608,62.906,0
1.478675138001563,11.965440000000001,63.312,0
1.4947584310011734,12.0048,63.343,0
1.510637110000971,11.965440000000001,63.093,0
1.5265760470010719,11.92608,63.093,0
1.5426658040014445,11.92608,62.937,0
1.558578980000675,11.84736,62.75,0
1.5745937589999812,11.92608,62.906,0
1.5904859750007745,12.04416,63.062,0
1.6066140370003268,12.122879999999999,63.031,0
1.6224129060010455,12.16224,62.937,0
1.6386928120009543,12.04416,63.281,0
1.6551124020006682,11.886719999999999,62.781,0
1.6712204320010642,11.76864,62.718,0
1.687453649001327,11.68992,62.687,0
1.7040414030016109,11.53248,63.093,0
1.7208197230011137,11.43296,62.937,0
1.737059949000468,11.354111999999999,62.875,0
1.7530329979999806,11.314688,62.625,0
1.7690894740007934,11.275264,62.625,0
1.7852846740006498,11.117567999999999,62.937,0
1.8016884880016732,11.03872,62.875,0
1.8184676079999917,10.999296000000001,62.875,0
1.834705721001228,10.881024,62.75,0
1.8510420130005514,10.802176,62.687,0
1.8677357230008056,10.683904,62.843,0
1.8841695210012404,10.723327999999999,62.968,0
1.9006547130011313,10.881024,63.125,0
1.9168569530011155,11.03872,63.156,0
1.9335040060013853,11.43296,63.437,0
1.9499343800016504,11.68992,63.718,0
1.9663354420008545,11.965440000000001,63.718,0
1.982751512001414,12.28032,63.812,0
1.9997415500001807,12.634559999999999,63.906,0
2.016181877001145,12.96768,63.906,0
2.0321857430008095,13.321344,63.906,0
2.0484631530016486,13.282048000000001,63.718,0
2.065580491000219,13.085567999999999,63.468,0
2.082477502000984,13.006976,63.093,0
2.099785629001417,12.849791999999999,63.343,0
2.116353383000387,12.75264,63.218,0
2.1330821020001167,12.889088,63.406,0
2.1496826890015654,13.085567999999999,63.343,0
2.166193994000423,13.203456000000001,63.375,0
2.18280962100107,13.321344,63.812,0
