t_s,power_w,temp_c,epoch
0.0004269239998393459,7.9232,61.906,-1
0.05089401499935775,8.081664,61.906,0
0.06744500099921424,8.12128,62.125,0
0.08373245899929316,8.160896,62.093,0
0.09991681099927519,8.200512,62.031,0
0.11602829600087716,8.200512,61.781,0
0.1321111090001068,8.240128,61.812,0
0.14822307400027057,8.279744,61.843,0
0.16479719599919918,8.30592,61.937,0
0.18101882900009514,8.345472,61.937,0
0.19745432300078392,8.345472,62.281,0
0.21361089799938782,8.385024,62.187,0
0.22969038200062641,8.424575999999998,62.125,0
0.2457515299993247,8.503680000000001,62.0,0
0.26238120599919057,8.582784,61.812,0
0.27904774700073176,8.622335999999999,62.062,0
0.29577572900052473,8.70144,62.093,0
0.31248201500056894,8.780543999999999,62.062,0
0.32974454000031983,8.820096,62.468,0
0.34601356600069266,8.859648,62.406,0
0.36236736200044106,8.938752000000001,62.406,0
0.3785029440005019,8.978304,62.125,0
0.3945715800000471,9.017856,62.218,0
0.41085747000033734,9.09696,62.312,0
0.4277159199991729,9.136512,62.375,0
0.44482167299975117,9.176064,62.343,0
0.46184403199913504,9.29472,62.718,0
0.478182819999347,9.29472,62.625,0
0.49460512999939965,9.334272,61.906,0
0.5116240000006655,9.29472,61.812,0
0.5286918959991453,9.334272,61.906,0
0.5459907420008676,9.29472,61.875,0
0.5628970010002377,9.334272,61.843,0
0.57984268600012,9.398144,62.093,0
0.5963465980003093,9.398144,61.75,0
0.6135244170000078,9.373824,61.75,0
0.6306259140001202,9.334272,61.562,0
0.647651503999441,9.29472,61.656,0
0.6647384089992556,9.255168,61.687,0
0.6818008959999133,9.215616,61.906,0
0.6982269189993531,9.176064,61.75,0
0.7152707820005162,9.136512,61.812,0
0.7322311230000196,9.09696,61.843,0
0.7492773859994486,9.017856,61.656,0
0.7664674610005022,8.978304,61.687,0
0.7835964469995815,8.8992,61.875,0
0.8006510939994769,8.820096,61.781,0
0.8177248779993533,8.780543999999999,61.812,0
0.8348095420005848,8.70144,61.812,0
0.8519529919994966,8.661888000000001,61.687,0
0.8691500759996416,8.582784,61.625,0
0.8862301320004917,8.543232,61.718,0
0.9041149780005071,8.503680000000001,61.781,0
0.9221790939991479,8.543232,61.625,0
0.9398774389992468,8.464128,61.656,0
0.9568086269991909,8.503680000000001,61.687,0
0.9737802960007684,8.464128,61.625,0
0.9918523479991563,8.582784,61.75,0
1.0094390100002784,8.70144,61.531,0
1.0267601930008823,8.780543999999999,61.593,0
1.0441408009992301,8.740992,61.656,0
1.0616650939991814,8.780543999999999,61.687,0
1.0792115950007428,8.70144,61.781,0
1.0965712109991728,8.622335999999999,61.812,0
1.1139650669992989,8.582784,61.625,0
1.1313337400006276,8.503680000000001,61.656,0
1.1486877869992895,8.424575999999998,61.625,0
1.1661114689995884,8.385024,61.75,0
1.183506542000032,8.345472,61.656,0
1.2008762379991822,8.279744,61.531,0
1.2183644969991292,8.345472,61.625,0
1.2360032249998767,8.385024,61.687,0
1.2536513930008368,8.385024,61.75,0
1.27171909199933,8.464128,61.593,0
1.2894653429993923,8.424575999999998,61.531,0
