t_s,power_w,temp_c
0.0002542779998293554,14.672768,58.812
0.01580751199981023,14.712,58.625
0.029012245999638253,14.712,58.781
0.04254181999976936,14.672768,58.718
0.054528353000023344,14.633536,59.156
0.06672202599975208,14.672768,58.593
0.07921362499973839,14.672768,59.031
0.09152169999970283,14.751232,58.968
0.10594969399971887,14.672768,58.437
0.11909737099995255,14.555072000000001,58.625
0.1322179439998763,14.633536,59.0
0.14512683299972196,14.555072000000001,58.875
0.15774051499965935,14.51584,58.531
0.16941689599980236,14.51584,58.906
0.18135997199988196,14.555072000000001,58.531
0.19399515799977962,14.555072000000001,58.75
0.20610482899974158,14.672768,59.25
0.21952192099979584,14.751232,59.187
0.23244172199974855,14.790464,58.687
0.24621674099989832,14.672768,58.875
0.25913574099968173,14.633536,58.687
0.27115129799994975,14.633536,58.656
0.2836693619997277,14.633536,58.656
0.296056063999913,14.672768,59.156
0.30804016399997636,14.790464,58.875
0.3209391319996939,14.829696,58.75
0.3343680640000457,14.829696,58.906
0.34749836499986486,14.751232,58.5
0.36056671300002563,14.712,58.687
0.3725676779999958,14.712,59.187
0.3849434979997568,14.712,58.968
0.39718581199986147,14.751232,58.687
0.40980893500000093,14.868928,58.968
0.4226203489997715,14.90816,58.781
0.43598051099979784,14.90816,59.218
0.4493791059999239,14.829696,58.656
0.46256182499973875,14.751232,58.906
0.47453830899985405,14.751232,58.656
0.4868136149998463,14.751232,58.875
0.49904108099963196,14.790464,58.625
0.5107021019998683,14.90816,58.687
0.5252556030000051,14.947392,58.906
0.5389073869996537,14.90816,58.687
0.5515760139996928,14.868928,58.906
0.5648104140000214,14.790464,58.5
0.5768778759997986,14.790464,58.906
0.589214783999978,14.790464,58.718
0.6014527459997225,14.829696,58.75
0.6151671239999814,14.947392,58.812
0.6271719279998251,14.947392,59.156
0.6403441829997973,14.986623999999999,58.718
0.652687746999618,14.90816,58.843
0.6654999610000232,14.829696,58.75
0.6785084680000182,14.790464,59.156
0.6906947479997143,14.790464,58.75
0.7029278139998496,14.829696,59.0
0.7152348649997293,14.947392,59.031
0.7291118389998701,15.025856,58.75
0.7420944569998937,15.025856,58.875
0.755891844999951,14.90816,58.593
0.7693074639996667,14.829696,59.031
0.7821204459996807,14.751232,58.75
0.7944485859998167,14.751232,58.843
0.8067543889997069,14.751232,58.937
0.8189707829997133,14.868928,58.812
0.8336340450000534,14.947392,59.25
0.8468858530000034,14.947392,58.75
0.8600303629996233,14.868928,58.968
0.8734770549999666,14.712,58.812
0.8866424289999486,14.633536,58.625
0.8988927430000331,14.672768,58.718
0.9110932319999847,14.712,59.156
0.9234075790000134,14.751232,59.187
0.9381451469998865,14.868928,58.812
0.9507166849998612,14.947392,59.093
0.9633028779999222,14.868928,58.625
0.9761778779998167,14.829696,58.937
0.98799896599985,14.790464,59.312
1.0002368639998167,14.790464,59.093
1.0125610359996244,14.829696,58.75
1.0248653669996202,14.947392,59.031
1.0393291369996405,14.986623999999999,59.093
1.0531620459996702,14.986623999999999,58.656
1.0666903399996954,14.868928,59.125
1.079673437999645,14.829696,58.687
1.0923298409998097,14.829696,59.031
1.1046363479999854,14.790464,58.781
1.1169144069999675,14.829696,58.968
1.1305231819997061,14.90816,58.937
1.1437529739996535,14.947392,59.343
1.157248370999696,14.947392,59.093
1.1706367899996621,14.868928,58.656
1.1841867479997745,14.790464,58.906
1.1964924549997704,14.790464,58.75
1.2089888870000323,14.790464,58.687
1.2213212829997246,14.790464,58.812
1.2364571949997298,14.868928,58.781
1.2497359159997359,14.90816,59.062
1.2637118349998673,14.90816,58.968
1.2770017559996631,14.829696,58.656
1.28917469299995,14.790464,58.843
1.3010813189998771,14.829696,59.218
1.3129327769997872,14.829696,58.843
1.324820938999892,14.868928,59.187
1.337450620999789,14.947392,58.718
1.3508243520000178,15.025856,58.812
1.363767832999656,14.986623999999999,58.968
1.3763718189998144,14.868928,59.25
1.389199680999809,14.829696,58.812
1.4013075279999612,14.868928,59.031
1.414194655999836,14.829696,58.968
1.4268421629999466,14.829696,58.75
1.4397193709996827,14.947392,58.937
1.4534597009997015,14.986623999999999,58.968
1.4668431599998257,14.947392,59.156
1.4801712569997107,14.868928,58.937
