t_s,power_w,temp_c
0.0003364910007803701,11.175104,52.343
0.015011942999990424,11.135616,52.5
0.02809339200030081,11.135616,52.875
0.04054384500159358,11.135616,52.5
0.05263735700100369,11.135616,52.406
0.0659450540006219,11.175104,52.687
0.0791198170009011,11.175104,52.437
0.09108935800031759,11.175104,52.562
0.10318991100029962,11.175104,53.062
0.11527184000078705,11.214592,52.968
0.12715123300040432,11.293567999999999,52.562
0.14038510300088092,11.25408,52.781
0.1531858070011367,11.214592,52.468
0.16528488800031482,11.25408,52.468
0.1788042710013542,11.333056000000001,52.687
0.1907113780016516,11.293567999999999,52.937
0.203811035000399,11.293567999999999,52.593
0.21578707200023928,11.333056000000001,52.906
0.22882951100109494,11.412032,52.812
0.2420647890012333,11.372544,52.406
0.2553556210004899,11.333056000000001,52.625
0.26736653900115925,11.372544,53.062
0.2793925610003498,11.412032,52.562
0.2925334040010057,11.412032,52.5
0.3057502810006554,11.372544,52.687
0.3179940070003795,11.372544,52.5
0.3304269540003588,11.412032,52.656
0.34416071200030274,11.45152,52.531
0.3574991929999669,11.412032,52.812
0.369822953000039,11.412032,52.5
0.38186014400162094,11.412032,52.781
0.39380590800101345,11.491007999999999,52.437
0.4070163530013815,11.45152,53.156
0.42032916900097916,11.412032,52.562
0.43231627800014394,11.45152,53.0
0.44584711700008484,11.491007999999999,52.843
0.45905874600066454,11.491007999999999,52.531
0.47246298900063266,11.45152,52.718
0.4844874440004787,11.491007999999999,52.687
0.49807626900110336,11.530496,53.156
0.5112414960003662,11.491007999999999,52.531
0.52416870000161,11.45152,52.812
0.5361961940016045,11.491007999999999,52.531
0.5482912110001052,11.530496,52.5
0.56158041100025,11.530496,52.625
0.5747001320014533,11.491007999999999,53.031
0.586685258000216,11.491007999999999,52.468
0.5989337510000041,11.530496,52.937
0.6123057690001588,11.569984,52.718
0.6252577740015113,11.491007999999999,52.375
0.6375941420010349,11.491007999999999,52.687
0.6496389170006296,11.530496,53.125
0.6615164230006485,11.569984,52.687
0.6746755700005451,11.530496,52.531
0.6875324990014633,11.491007999999999,52.687
0.6996296600009373,11.530496,52.562
0.7130743530015025,11.569984,52.75
0.7264010570015671,11.530496,52.562
0.7394748580009036,11.491007999999999,52.875
0.751458447000914,11.530496,52.531
0.7635268390004057,11.569984,52.843
0.7763737520017457,11.569984,52.437
0.7895228510005836,11.530496,52.437
0.8016228910000791,11.530496,52.593
0.8136020000001736,11.569984,52.906
0.8272034980000171,11.609472,52.531
0.8403873820006993,11.530496,52.875
0.8525410880010895,11.530496,52.687
0.8646158800002013,11.569984,52.5
0.8783222770016437,11.609472,53.093
0.8934897780000028,11.569984,52.468
0.9083598930010339,11.569984,52.531
0.921005807000256,11.530496,52.687
0.9330911270008073,11.530496,52.437
0.9465024430010089,11.569984,52.312
0.9594470550000551,11.491007999999999,52.5
0.9715694970000186,11.491007999999999,53.0
0.9843441190005251,11.530496,52.593
0.9976508870004182,11.569984,52.437
1.0109554790014954,11.491007999999999,52.687
1.0231442590011284,11.491007999999999,52.437
1.035364560000744,11.530496,52.687
1.0473138440011098,11.569984,53.0
1.0590609130013036,11.530496,52.562
1.0722604780003167,11.491007999999999,52.75
1.0842752360003942,11.530496,52.718
1.097895006001636,11.569984,52.593
1.1114555100011785,11.530496,53.093
1.124854089001019,11.491007999999999,52.531
1.1368782870013092,11.530496,52.937
1.1503227880002669,11.569984,52.593
1.1633106330009468,11.569984,52.718
1.1752411650013528,11.530496,52.531
1.1873703910005133,11.530496,53.156
1.1994186220017582,11.569984,52.687
1.2125424400001066,11.609472,52.843
1.2255213250009547,11.530496,52.437
1.2376067090008291,11.530496,52.906
1.2496454360007192,11.569984,52.5
1.262490205001086,11.609472,53.187
1.2755555570001889,11.530496,52.593
1.2876858390009147,11.530496,52.937
1.2997354140006792,11.569984,52.656
1.3124832840003364,11.609472,52.843
1.3255319630006852,11.569984,52.687
1.3387744090014166,11.569984,53.187
1.3509314750008343,11.609472,52.718
1.3645589900006598,11.648959999999999,52.625
1.377882494000005,11.609472,52.812
1.3910906030014303,11.569984,52.593
1.4031451380014914,11.569984,52.812
1.415222874000392,11.609472,52.437
1.4282246400016447,11.609472,53.0
1.4415653930009285,11.569984,52.562
1.4536448570015637,11.569984,52.968
1.4656348140015325,11.609472,52.812
1.4792766970003868,11.609472,52.437
1.4924091230004706,11.569984,52.531
1.504629807001038,11.569984,53.156
1.5166284370006906,11.569984,52.593
1.5285659760011185,11.609472,52.843
1.54058105400145,11.569984,52.5
1.5534575680012495,11.530496,52.812
1.5654657980012416,11.569984,52.781
1.57907254300153,11.609472,53.187
1.5922293860003265,11.569984,52.968
1.605587996000395,11.530496,52.625
1.6176458910013025,11.569984,52.875
1.6310634470009973,11.609472,52.593
1.6443136370016873,11.569984,52.468
1.6574038530015969,11.530496,52.687
1.6695028700014518,11.569984,53.125
1.6815709420006897,11.609472,52.531
1.6945808680011396,11.609472,52.843
1.7076315950016578,11.569984,52.437
1.7195975840004394,11.569984,52.656
1.7317217850013549,11.569984,52.625
1.745137613001134,11.609472,52.906
1.758220629000789,11.569984,52.5
1.7705590140012646,11.530496,52.781
1.7826247490011156,11.569984,52.781
1.7943432740012213,11.609472,52.468
1.807438355001068,11.569984,52.687
1.8203282770009537,11.530496,53.031
1.832590499001526,11.569984,52.968
1.8466800120004336,11.609472,52.593
1.8602671410008043,11.569984,52.75
1.873139399000138,11.530496,52.718
1.8875422020009864,11.609472,53.187
1.9014276130001235,11.609472,52.906
1.9148094550000678,11.609472,52.625
1.9282485470012034,11.569984,52.843
1.9403804610010411,11.569984,52.843
1.952377202000207,11.609472,52.5
1.964502076001736,11.648959999999999,52.593
1.977833836001082,11.569984,52.843
1.9900118640016444,11.569984,52.656
2.0023460560005333,11.569984,52.968
2.015519859000051,11.648959999999999,52.718
2.0288828530010505,11.569984,52.406
2.0412372060000052,11.569984,52.656
2.0532504280017747,11.569984,53.156
2.0660690200002136,11.609472,52.968
2.0793361060004827,11.569984,52.562
2.092337840000255,11.530496,52.812
2.1044217530015885,11.569984,52.75
2.1180307060003543,11.609472,53.187
2.13164484400113,11.569984,52.656
2.1449005700014823,11.530496,52.906
2.1570346920016163,11.569984,52.937
2.170444055000189,11.609472,52.625
2.18387479500052,11.569984,52.375
2.1971410180012754,11.530496,52.625
2.2091844160004257,11.530496,53.031
2.222353772000133,11.609472,52.687
2.235506743001679,11.569984,52.5
2.24852537300103,11.530496,52.812
2.260617894000461,11.530496,52.562
2.2727234060002957,11.569984,52.625
2.285716948001209,11.569984,53.062
2.2990206750000652,11.530496,52.937
2.311264753001524,11.530496,52.562
2.3232727580016217,11.569984,52.875
2.3376754650016665,11.609472,52.687
2.3514447120014665,11.530496,53.093
2.364222215001064,11.530496,52.687
2.3764342590002343,11.569984,53.031
2.38864758300042,11.609472,52.812
2.4018197860004875,11.569984,52.468
2.4149366280016693,11.530496,52.718
2.4269486980010697,11.569984,53.25
2.440525042000445,11.609472,52.781
2.452352754000458,11.569984,52.625
2.4655015320004168,11.530496,52.875
2.4775407390006876,11.569984,52.656
2.489573257000302,11.609472,52.781
2.5026344810012233,11.609472,52.406
2.515587925001455,11.530496,52.562
2.5275846020012978,11.530496,52.625
2.5399138660013705,11.569984,52.906
2.553308829001253,11.609472,52.562
2.5664451910015487,11.530496,52.687
2.578586385001472,11.530496,52.5
2.59060434300045,11.569984,53.156
2.6028763570011506,11.609472,52.625
2.6161814610004512,11.569984,53.031
2.628925330000129,11.530496,52.531
2.641013082000427,11.569984,52.906
2.6527753200007282,11.609472,52.781
2.665807807001329,11.609472,53.125
2.678919144000247,11.569984,52.562
2.6909687190000113,11.569984,52.937
2.703119769001205,11.609472,52.531
2.715492938001262,11.609472,52.75
2.7285897790006857,11.569984,52.687
2.740599321001355,11.569984,53.156
2.7526694090011006,11.609472,52.656
2.7658816450002632,11.609472,52.968
2.7789176200003567,11.530496,52.562
2.7912021790016297,11.530496,52.812
2.8032198160017288,11.569984,52.812
2.8152346380011295,11.609472,53.156
2.8284401550008624,11.569984,52.656
2.8403485090002505,11.530496,52.968
2.852407428001243,11.569984,52.625
2.8659437710011844,11.609472,52.562
2.8788067170007707,11.569984,52.718
2.8938333800015243,11.569984,52.656
2.9073139450010785,11.530496,53.031
2.920749197000987,11.530496,52.562
2.9327932680007507,11.530496,52.531
2.945964319000268,11.491007999999999,52.687
2.959834369001328,11.491007999999999,52.562
2.971958923000784,11.491007999999999,53.218
2.985489986000175,11.530496,52.656
2.998741039000379,11.491007999999999,52.968
3.0120476790016255,11.45152,52.656
3.024139015000401,11.491007999999999,52.593
3.0375799630000984,11.530496,52.718
3.0507143740014726,11.530496,53.093
3.0639573309999832,11.45152,53.093
3.0759784890015,11.491007999999999,52.718
3.0881608680010686,11.530496,52.937
3.1011835310000606,11.530496,52.562
3.1140452600011486,11.491007999999999,52.812
3.1260521780004638,11.491007999999999,53.281
3.1382077080015733,11.530496,53.062
3.151646480000636,11.569984,52.687
3.164970240000912,11.530496,52.875
3.177177516001393,11.491007999999999,52.687
3.189997868001228,11.530496,52.562
3.2030445630007307,11.569984,52.687
3.2162308470014978,11.530496,53.125
3.2283891620008944,11.491007999999999,52.687
3.2403977110006963,11.530496,52.968
3.2520764260007127,11.569984,52.781
3.2650507670005027,11.530496,52.562
3.278374783001709,11.491007999999999,52.687
3.290431046001686,11.530496,53.156
3.3036540990015055,11.569984,53.062
3.316942850000487,11.530496,52.562
3.3304156070007593,11.491007999999999,52.781
3.3425332160004473,11.530496,52.593
3.354687050001303,11.569984,53.187
3.36779150700022,11.569984,52.656
3.3807937520014093,11.530496,53.093
3.3930835270002717,11.530496,52.687
3.4054022310010623,11.530496,52.531
3.419049169000573,11.569984,52.718
3.431051606001347,11.530496,52.5
3.443173279001712,11.491007999999999,52.687
3.455150596000749,11.530496,53.187
3.467093607001516,11.569984,52.687
3.480433176000588,11.530496,52.75
3.493446718000996,11.530496,52.781
3.5054782440001873,11.530496,52.656
3.518734930001301,11.569984,52.718
3.531909085000734,11.530496,53.062
3.5449804850013606,11.491007999999999,53.031
3.5570466040007886,11.530496,52.593
3.570466208000653,11.569984,52.906
3.583522183000241,11.530496,52.687
3.5965235650000977,11.491007999999999,53.125
3.6086571740015643,11.530496,52.718
3.6206335940005374,11.569984,52.968
3.6338113980000344,11.530496,52.656
3.6468446200015023,11.491007999999999,52.531
3.659105434000594,11.491007999999999,52.781
3.671237796001151,11.530496,53.156
3.684876062001422,11.569984,52.656
3.6981299960007163,11.491007999999999,52.593
3.7103847289999976,11.491007999999999,52.875
3.722441568001159,11.530496,52.656
3.7345063430002483,11.569984,52.843
3.747722836000321,11.530496,53.187
3.7603565900008107,11.491007999999999,52.687
3.7723903240002983,11.530496,53.062
3.7845044450004934,11.569984,53.0
3.7977783150017785,11.530496,52.562
3.810804946000644,11.491007999999999,52.781
3.8228136870002345,11.530496,52.593
3.83575327500148,11.569984,53.156
3.849375540999972,11.530496,52.656
3.862487742000667,11.491007999999999,52.937
3.874582566000754,11.530496,52.875
3.890739634000056,11.609472,52.875
3.90443060600046,11.609472,53.156
3.91794506000042,11.569984,52.687
3.9303627430017514,11.569984,53.093
3.943641670000943,11.609472,52.937
3.9567774560000544,11.609472,52.625
3.9688735920008185,11.569984,52.75
3.981059395000557,11.569984,53.218
3.993136011000388,11.609472,53.125
4.0060233410004,11.648959999999999,52.656
4.019184183000107,11.569984,52.906
4.031426052000825,11.569984,52.687
4.043438794000394,11.609472,52.968
4.055174503000671,11.648959999999999,52.625
4.068264623001596,11.609472,53.156
4.081441818001622,11.569984,52.687
4.093477729000369,11.569984,53.031
4.10708018600053,11.609472,52.718
4.1199665240001195,11.569984,52.5
4.13357058100155,11.530496,52.781
4.145662301001721,11.569984,53.218
4.159041007000269,11.609472,53.156
4.172939218000465,11.609472,52.687
4.186182175000795,11.530496,52.843
4.198199141001169,11.569984,52.625
4.210322222001196,11.609472,53.281
4.223233585000344,11.609472,52.687
4.236286136001581,11.569984,53.0
4.248380160001034,11.530496,52.656
4.260568139001407,11.569984,53.0
4.2737340060011775,11.609472,52.812
4.2866365690006205,11.530496,52.625
4.298911079000391,11.530496,52.781
4.311000750001767,11.569984,53.156
4.322972339001353,11.609472,52.687
4.336197887001617,11.569984,52.687
4.3495354400001816,11.530496,52.843
4.361598423000032,11.530496,52.562
4.375219856001422,11.569984,53.156
4.388706822001041,11.569984,52.687
4.401554374000625,11.530496,52.968
4.413743377001083,11.569984,52.656
4.427225030000045,11.609472,52.562
4.4404423870000755,11.569984,52.718
4.453419639001368,11.530496,53.281
4.465469534001386,11.569984,52.75
4.478457379000247,11.609472,52.687
4.491285571000844,11.609472,52.875
4.504322378001234,11.530496,52.625
4.5163784160013165,11.530496,52.812
4.528503002000434,11.569984,53.218
4.5417293820009945,11.609472,53.031
4.5547213560003,11.530496,52.656
4.56727558700004,11.530496,52.937
4.579349642001034,11.530496,52.781
4.593470836000051,11.569984,52.656
4.605562588001703,11.530496,52.687
4.61806180900021,11.530496,53.187
4.630135384000823,11.530496,52.75
4.641952151001533,11.569984,53.125
4.655093537001449,11.530496,52.843
4.668450386001496,11.491007999999999,52.625
4.680493945001217,11.530496,52.781
4.694172724000964,11.569984,53.156
4.707516773001771,11.530496,53.062
4.720762514001763,11.491007999999999,52.687
4.732868411001618,11.530496,53.0
4.746393329000057,11.569984,52.843
4.759403479001776,11.530496,53.218
4.772721447001459,11.491007999999999,52.718
4.784805166000297,11.530496,53.093
4.796987289000754,11.569984,52.718
4.8097385830005805,11.569984,52.625
4.822654201001569,11.530496,52.781
4.834744801000852,11.530496,53.312
4.846855946001597,11.530496,52.812
4.860279389000425,11.569984,53.187
