t_s,power_w,temp_c
0.00028874500094389077,8.834368,51.062
0.02302976000100898,8.873984,51.218
0.03805663000093773,8.873984,51.187
0.051720324001507834,8.834368,51.062
0.06449954400159186,8.834368,51.343
0.07681759900151519,8.834368,51.281
0.08890620800048055,8.834368,51.156
0.10103750500093156,8.834368,51.25
0.11307142400073644,8.794752,51.093
0.12523472300017602,8.834368,51.156
0.13938086300004215,8.834368,51.031
0.15256934300123248,8.794752,51.125
0.16644498000096064,8.834368,51.312
0.17979650500092248,8.794752,51.312
0.1935271130005276,8.755136,51.281
0.20708254800047143,8.71552,51.25
0.21988516100100242,8.71552,51.156
0.23196733700024197,8.675904000000001,51.125
0.24416174100042554,8.675904000000001,51.062
0.25628996600062237,8.675904000000001,51.156
0.26845473700086586,8.675904000000001,51.093
0.2836209710003459,8.71552,51.156
0.29727612100032275,8.755136,51.343
0.3106507500015141,8.71552,51.312
0.32381782199990994,8.675904000000001,51.281
0.3369867500005057,8.675904000000001,51.25
0.3503064659998927,8.636288,51.218
0.3623683220012026,8.636288,51.187
0.37441360100092425,8.636288,51.156
0.3864567040000111,8.596672,51.062
0.398580832999869,8.596672,51.375
0.4108291900010954,8.636288,51.218
0.42278198600070027,8.675904000000001,51.218
0.43615284000043175,8.675904000000001,51.187
0.44964788900142594,8.636288,51.093
0.46250288800001726,8.596672,51.156
0.475848557000063,8.596672,51.062
0.4880900330008444,8.557056000000001,51.437
0.5001808500001061,8.557056000000001,51.343
0.5122206249998271,8.557056000000001,51.187
0.5243320500012487,8.557056000000001,51.125
0.5364022250014386,8.557056000000001,51.218
0.551690927000891,8.636288,51.187
0.5660256170012872,8.636288,51.218
0.5792647859998397,8.596672,51.187
0.5922781260014744,8.557056000000001,51.093
0.6055403040008969,8.557056000000001,51.062
0.6186040770007821,8.51744,51.375
0.630778384000223,8.51744,51.312
0.6429312500004016,8.51744,51.187
0.6549817450013506,8.51744,51.093
0.6670532650005043,8.51744,51.093
0.679164146000403,8.557056000000001,51.125
0.6917644810000638,8.596672,51.031
0.7050840370011429,8.596672,51.093
0.7181340810002439,8.557056000000001,51.343
0.7306419659998937,8.51744,51.218
0.7437403000003542,8.51744,51.25
0.7559957290013699,8.51744,51.187
0.7673807330011186,8.557056000000001,51.0
0.7793922830005613,8.51744,51.093
0.7914652420004131,8.51744,51.312
0.8035312580013851,8.51744,51.312
0.8170856370015827,8.596672,51.187
0.83087327100111,8.596672,51.156
0.8433760990010342,8.557056000000001,51.125
0.8559948670008453,8.557056000000001,51.187
0.8695244770005957,8.557056000000001,51.093
0.8816256940008316,8.51744,51.187
0.8940488080006617,8.557056000000001,51.375
0.9062460590012051,8.51744,51.25
0.9184455829999933,8.51744,51.218
0.9308016869999847,8.557056000000001,51.093
0.9449186740002915,8.596672,51.375
0.9581634440000926,8.636288,51.125
0.9716126680013986,8.596672,51.125
0.9849332480007433,8.557056000000001,51.125
0.998687825000161,8.557056000000001,51.093
1.011977748999925,8.51744,51.156
1.0270741250005813,8.51744,51.062
1.0398569610006234,8.557056000000001,51.093
1.054114753000249,8.557056000000001,51.062
1.0663815420011815,8.596672,51.406
1.080264475000149,8.636288,51.218
1.0946525420004036,8.675904000000001,51.281
1.1079756500002986,8.636288,51.281
1.1210852800013527,8.596672,51.187
1.1342718089999835,8.557056000000001,51.125
1.1475534440014599,8.557056000000001,51.156
1.1596601640012523,8.557056000000001,51.156
1.171787878000032,8.557056000000001,51.187
1.1838874620007118,8.51744,51.281
1.1961211310008366,8.51744,51.25
1.2082966859998123,8.557056000000001,51.187
1.2197988770003576,8.596672,51.062
1.2333663440003875,8.596672,51.062
1.246880818000136,8.596672,51.062
1.2600276009998197,8.557056000000001,51.25
1.2732332659998065,8.51744,51.093
1.2852313430012146,8.51744,51.343
1.2975072850003926,8.51744,51.281
1.309623734001434,8.51744,51.156
1.3216868380004598,8.51744,51.156
1.3338611760009371,8.477824,51.218
1.348642599001323,8.557056000000001,51.062
1.3619901560014114,8.596672,51.093
1.3752821590005624,8.557056000000001,51.125
1.3886825500012492,8.557056000000001,51.062
1.4020913880012813,8.51744,51.375
1.4150866470008623,8.477824,51.312
1.4272133680005936,8.477824,51.187
1.4394640290011012,8.477824,51.125
1.4515516770006798,8.477824,51.093
1.46370265600126,8.477824,51.031
1.4757636150006874,8.51744,51.062
1.4899898849998863,8.557056000000001,51.093
1.503281921000962,8.557056000000001,51.281
1.5153424640011508,8.51744,51.281
1.5285755860004429,8.51744,51.187
1.5419648400002188,8.491520000000001,51.093
1.5552302180003608,8.491520000000001,51.187
1.5674539350002306,8.491520000000001,51.062
1.5798459440011356,8.491520000000001,51.187
1.5919095590015786,8.491520000000001,51.093
1.6040538490015024,8.45184,51.062
1.6192509320007957,8.51744,51.312
1.6331444890001876,8.557056000000001,51.281
1.6466295210011594,8.51744,51.281
1.6600212720004492,8.477824,51.25
1.6729623210012505,8.491520000000001,51.187
1.6866386550009338,8.45184,51.187
1.69870681500106,8.45184,51.125
1.710856801000773,8.45184,51.031
1.722963490001348,8.45184,51.093
1.735096707001503,8.45184,51.281
1.748153408001599,8.477824,51.312
1.7605159120012104,8.51744,51.25
1.7740344820012979,8.51744,51.093
1.787336821000281,8.477824,51.125
1.800972515000467,8.477824,51.218
1.8143010310013779,8.438208000000001,51.093
1.82619267300106,8.438208000000001,51.093
1.838263393001398,8.438208000000001,51.406
1.8503795540000283,8.438208000000001,51.25
1.8624307850004698,8.438208000000001,51.187
1.8744904330014833,8.398592,51.281
1.8890941860008752,8.477824,51.187
1.9027792249999038,8.51744,51.156
1.9165067610010738,8.477824,51.187
1.9299745770003938,8.477824,51.156
1.9431213600000774,8.438208000000001,51.125
1.9564003070008766,8.45184,51.031
1.968466291000368,8.438208000000001,51.281
1.9806334929999139,8.45184,51.281
1.992720886000825,8.41216,51.218
2.004734644000564,8.45184,51.156
2.0186858020006184,8.477824,51.187
2.0312752250010817,8.51744,51.156
2.0449236870008463,8.557056000000001,51.281
2.0575493020005524,8.557056000000001,51.093
2.07079628000065,8.557056000000001,51.375
2.0835116270009166,8.51744,51.281
2.0959146120003425,8.51744,51.218
2.1081278640012897,8.51744,51.156
2.120239161000427,8.51744,51.125
2.1323864590012818,8.51744,51.156
2.14524641800017,8.557056000000001,51.093
2.1571834690003016,8.596672,51.406
2.170554867001556,8.596672,51.375
2.183958874000382,8.557056000000001,51.25
2.1974594910007,8.557056000000001,51.125
2.2104026840006554,8.51744,51.187
2.22351529000116,8.477824,51.156
2.235658876001253,8.477824,51.125
2.2478242220004176,8.477824,51.187
2.2598879340002895,8.477824,51.281
2.2719690540016018,8.477824,51.312
2.28644998800155,8.557056000000001,51.312
