model,precision,batch_size,power_mode,p_peak_w,energy_per_inf_j,thermal_ramp_c_per_s,speed_score,pareto
resnet18,FP16,1,15W,35.235968,0.352381403789578,0.1510199123119488,92.79115113596028,0
resnet18,FP16,1,15W,35.369728,0.3583060807293271,0.2068098114296682,93.95519644607823,0
resnet18,FP16,1,15W,30.676928,1.4551213595850994,0.0536059027211308,20.44521291184733,0
resnet18,FP16,1,15W,30.320768,1.4865490384690971,0.0456430249446845,19.977669739893404,0
resnet18,FP16,1,25W,32.403839999999995,0.3631359600588388,0.0849408829478736,84.38665405403361,0
resnet18,FP16,1,25W,32.52224,0.3708345742773686,0.0754109782152365,84.62092032072118,0
resnet18,FP16,1,25W,29.766784,1.4959457218404792,0.0372459352883291,19.5256713936471,0
resnet18,FP16,1,25W,29.01536,1.499883665136893,0.0366511986380846,19.178802476665638,0
resnet18,FP16,1,MAXN,39.513088,0.3406750091666551,0.4750248328366864,104.99244884596986,0
resnet18,FP16,1,MAXN,39.630848,0.3565000262710918,0.4505186990338558,106.82229227564324,0
resnet18,FP16,1,MAXN,32.009088,1.545416341993431,0.0076737365754979,19.62878725724422,0
resnet18,FP16,1,MAXN,30.54208,1.5441643650290209,0.023138696737439,19.533639391395177,0
resnet18,FP16,4,15W,46.33446399999999,0.5530427065826876,0.691035356469654,77.52463511378505,0
resnet18,FP16,4,15W,46.636672,0.570712534703115,0.3232676493379561,78.36604833211207,0
resnet18,FP16,4,15W,39.387392,2.0087729766683577,0.0317521499670469,18.94082223164352,0
resnet18,FP16,4,15W,38.91481600000001,2.002755499184792,0.0511270303207635,18.95037751898361,0
resnet18,FP16,4,25W,53.353472,0.5219431272112351,1.2237898269114549,88.87355788414548,0
resnet18,FP16,4,25W,53.392192,0.542496045381167,0.6082500657490371,92.1339856127056,0
resnet18,FP16,4,25W,42.15232,2.018239642036136,0.0663875734701957,20.445823242884167,0
resnet18,FP16,4,25W,42.034496,2.039699340373634,0.0721508561637707,20.13815000680926,0
resnet18,FP16,4,MAXN,62.181632,0.4945112226833848,2.079350296873535,103.00877194012104,0
resnet18,FP16,4,MAXN,62.646016,0.5360890285393218,0.643872004123251,110.94952508572176,0
resnet18,FP16,4,MAXN,47.047488,2.135417758066317,-0.0131468177918035,19.915188376198405,0
resnet18,FP16,4,MAXN,42.584384,2.108198268427381,0.0440591787609036,19.897675125225124,0
resnet18,FP16,8,15W,44.99552,0.8651444283015596,0.2876779434461615,49.61500621938554,0
resnet18,FP16,8,15W,44.810368,0.879282554841667,0.1434584461861928,49.78963899928373,0
resnet18,FP16,8,15W,42.90067199999999,2.860772423381364,0.0382141727520323,14.78273149458161,1
resnet18,FP16,8,15W,43.01875199999999,2.8529307951692773,0.0032595929139452,14.84873500327874,1
resnet18,FP16,8,25W,61.624448,0.795883990104334,0.7607907234005759,71.49057308341972,0
resnet18,FP16,8,25W,62.66393599999999,0.8289188019284393,0.3748126372299412,71.35240721885465,0
resnet18,FP16,8,25W,54.479744,2.876150041422236,0.0474845083159547,18.433027391944144,0
resnet18,FP16,8,25W,57.4352,3.006253860316981,0.0262593332134204,17.681904504892,1
resnet18,FP16,8,MAXN,67.324864,0.9226957195077864,0.8334477199583823,64.65078769704253,1
resnet18,FP16,8,MAXN,69.15481600000001,0.890019845170365,0.5700291013921406,71.43129765507365,1
